name,album,artists,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Sweat,Sweat,KREAM,2023-05-19,159047,64,0.647,0.00793,0.798,0.0196,0.105,-7.049,0.0393,126.028,4
Ghost Town,Ghost Town,"VIZE, Joris Sava, July",2023-04-07,162857,76,0.696,0.0347,0.525,9.51e-06,0.121,-6.151,0.0361,140.024,4
Hero,Hero,"Alan Walker, Sasha Alex Sloan",2023-05-04,175271,81,0.59,0.046,0.681,7.55e-05,0.153,-7.289,0.0305,126.02,4
Dancing is Healing,Dancing is Healing,"Rudimental, Charlotte Plank, Vibe Chemistry",2023-04-21,177321,78,0.589,0.265,0.808,0.0,0.0513,-4.338,0.0848,165.852,4
Off Wiv Ya Headz,Off Wiv Ya Headz,Nia Archives,2023-06-09,206694,62,0.555,0.0116,0.984,0.586,0.54,-2.772,0.135,164.989,4
Jacaré,Jacaré,Sofi Tukker,2023-04-21,156620,68,0.694,0.00375,0.84,0.0163,0.116,-5.18,0.0364,125.063,4
Thinkin of You,Thinkin of You,"Dylan & Harry, Party Favor, Baauer",2023-05-26,137142,56,0.78,0.0343,0.949,0.0118,0.114,-2.98,0.0555,133.057,4
Other Side,ILLENIUM,ILLENIUM,2023-04-28,211592,66,0.537,0.512,0.753,0.000244,0.3,-3.351,0.082,81.929,4
Wish I Could Forget (with blackbear & Bring Me The Horizon),Wish I Could Forget (with blackbear & Bring Me The Horizon),"SLANDER, blackbear, Bring Me The Horizon",2023-05-19,206000,74,0.589,0.01,0.699,0.0,0.0925,-4.975,0.0388,119.926,4
Lose My Mind,Lose My Mind,Jamie Jones,2023-03-10,181935,66,0.646,0.00119,0.898,0.0406,0.189,-6.27,0.0358,124.002,4
Push Up - Main Edit,Push Up (Main Edit),Creeds,2023-03-31,139300,84,0.767,0.209,0.83,0.836,0.0582,-8.78,0.206,75.023,4
TMO (Turn Me On) [feat. Kevin Lyttle],TMO (Turn Me On) [feat. Kevin Lyttle],"Luude, Bru-C, Kevin Lyttle",2023-04-27,159161,74,0.503,0.128,0.915,0.0,0.227,-2.488,0.136,179.002,4
RATATA,Quest For Fire,Skrillex,2023-02-17,126774,75,0.889,0.0145,0.6,0.0,0.08,-10.603,0.144,123.978,4
Can’t Fight The Feeling,Can’t Fight The Feeling,Matroda,2023-02-17,171428,65,0.878,0.00861,0.882,2.39e-05,0.201,-4.143,0.223,125.98,4
Push To Start (feat. No/Me),Push To Start (feat. No/Me),"Noizu, Westend, No/Me",2023-02-24,181875,69,0.852,0.00951,0.988,0.302,0.0629,-6.007,0.0588,128.013,4
Rhyme Dust,Rhyme Dust,"MK, Dom Dolla",2023-02-24,181364,70,0.925,0.0659,0.561,0.0271,0.152,-8.675,0.176,128.034,4
Colourblind,Colourblind,"Jess Bays, Hayley May",2023-03-03,185120,66,0.742,0.033,0.835,0.00156,0.22,-6.23,0.0385,127.013,4
Don't Stop,Don't Stop,Biscits,2023-04-28,170196,63,0.824,0.0541,0.608,0.241,0.0747,-8.51,0.0541,127.028,4
Substitution,Substitution,"Purple Disco Machine, Kungs",2023-03-30,181477,84,0.69,0.00903,0.89,1.61e-05,0.188,-4.866,0.0507,124.018,4
The Rapture Pt.III,The Rapture Pt.III,"&ME, Black Coffee, Keinemusik",2023-06-09,417812,64,0.72,0.0223,0.534,0.86,0.11,-11.949,0.0375,120.009,4
If Love Is A Skill,If Love Is A Skill & Georgia,"LP Giobbi, Sofi Tukker",2023-03-21,217708,63,0.599,0.228,0.63,0.182,0.208,-11.511,0.0375,122.042,3
Misbehave,Misbehave,"Ship Wrek, Disco Lines",2023-04-07,174220,59,0.734,0.321,0.858,0.0109,0.0729,-5.42,0.0428,124.036,4
Explore Your Future,Explore Your Future,Anyma,2023-03-23,220887,71,0.716,0.000561,0.881,0.67,0.216,-7.027,0.0536,123.984,4
Voodoo,Voodoo,Gorgon City,2023-03-10,213800,74,0.66,0.212,0.878,0.663,0.16,-6.647,0.0596,129.004,4
Giving Me,Giving Me,Jazzy,2023-03-10,169000,83,0.735,0.329,0.651,0.000205,0.131,-9.25,0.112,127.07,4
Sex & The City - MK Remix,Sex & The City (MK Remix),"HoneyLuv, Seth Troxler, MK",2023-04-05,187142,55,0.798,0.00114,0.9,0.877,0.0851,-4.64,0.0644,132.0,4
Good Lies,Good Lies,Overmono,2023-03-31,160127,62,0.688,0.0694,0.809,0.88,0.602,-4.781,0.0474,126.019,4
Pretty People (feat. INJI),Pretty People (feat. INJI),"Dillon Francis, INJI",2023-04-07,149771,63,0.774,0.0346,0.851,0.03,0.103,-6.621,0.0438,130.023,4
Relax My Eyes,Relax My Eyes,"ANOTR, Abel Balder",2022-11-04,192150,81,0.747,0.176,0.616,0.116,0.143,-9.76,0.0324,131.975,4
Make Me,Make Me,"Borai & Denham Audio, Borai, Denham Audio",2023-02-17,151436,72,0.618,0.0356,0.954,0.00148,0.15,-3.421,0.0399,129.979,4
Euphoria,Euphoria,Claptone,2023-03-17,158399,61,0.426,0.019,0.857,0.817,0.172,-5.95,0.0495,124.967,4
Tina,Tina,"Vintage Culture, Bhaskar, Meca",2023-03-10,262500,65,0.746,0.00272,0.91,0.262,0.364,-8.807,0.0584,128.007,4
Beyond the Fire,Beyond the Fire,Don Diablo,2023-02-17,228620,66,0.631,0.888,0.379,0.918,0.0947,-12.662,0.0451,113.79,4
Wait For It,Wait For It,salute,2023-02-06,239668,60,0.732,0.000639,0.885,0.00127,0.032,-4.538,0.129,133.018,4
"Yahyuppiyah (feat. Pcee, EeQue & Chley)","Yahyuppiyah (feat. Pcee, EeQue, & Chley)","Uncle Waffles, Tony Duardo, Justin99",2023-03-29,296975,70,0.819,0.00585,0.457,0.000127,0.0661,-12.641,0.126,112.027,4
Beyond Us - Hatshepsut Version,Beyond Us (Hatshepsut Version),"Eynka, Adriatique",2023-03-09,234795,59,0.667,0.071,0.9,0.764,0.378,-8.816,0.0381,125.993,4
